epoch,generator_loss,discriminator_loss
1.0,31.665799407958986,4.948051740217209
2.0,9.447933876991272,2.003669660949707
3.0,3.2164927326202393,1.6671585208892823
4.0,2.4697009479522705,1.4973511713027954
5.0,1.982855591583252,1.3393343975067138
6.0,2.0532596391677855,1.2998830375671386
7.0,2.174108811187744,1.2875473379135132
8.0,2.1345552810668944,1.2888705656051636
9.0,1.9251014923095704,1.2911189301490784
10.0,1.8363510208129883,1.3453809951782227
11.0,1.840845204257965,1.2704487045288086
12.0,1.934927819442749,1.2358014011383056
13.0,1.9536607608795167,1.229756417274475
14.0,2.025061360168457,1.2179480964660645
15.0,1.9307890438079833,1.2144977512359618
16.0,2.062922225189209,1.1548702476501465
17.0,2.052325463104248,1.1672932584762574
18.0,2.1885330085754395,1.1028990131378174
19.0,2.3012317626953127,1.0787937806129455
20.0,2.268002978515625,1.1330398754119873
21.0,2.3852536544799805,0.9963831207275391
22.0,2.5519650043487547,1.045666267681122
23.0,2.57261075668335,0.8888568635940551
24.0,2.380387007522583,1.1061310501098633
25.0,2.6034365169525144,0.9687491008758545
26.0,2.7299160415649415,0.9591987369537354
27.0,2.593540965270996,0.8937728658676147
28.0,2.648537677764893,0.8670631029129028
29.0,2.85727293548584,0.8079265057563781
30.0,2.995015643310547,0.9133675559997558
31.0,2.7140143867492674,0.9309218828201294
32.0,2.9080594093322754,0.7346010438919067
33.0,2.8536889659881592,1.0157261388778687
34.0,2.8364414390563963,0.7593794327735901
35.0,2.8763992280960085,0.7836194959640503
36.0,2.9430171504974365,0.7293390746116638
37.0,2.9663982311248778,0.877235464000702
38.0,2.9768283935546873,0.6520287055969238
39.0,2.664552149963379,1.0114688478469849
40.0,3.036105562210083,0.7910914160251618
41.0,3.3016414695739744,0.5676578849792481
42.0,2.4666765289306642,1.1306121092796326
43.0,2.96936689453125,0.7815077279090882
44.0,2.869887391281128,0.938929172706604
